time,open,high,low,close,volume,ticker
2022-08-23,7290,7290,7290,7290,5700,HU6
2022-08-24,7290,7290,7290,7290,500,HU6
2022-08-25,7870,7870,7770,7770,300,HU6
2022-08-29,7770,7770,7770,7770,5800,HU6
2022-08-30,7870,7870,7380,7380,600,HU6
2022-08-31,7770,8160,7770,7970,1200,HU6
2022-09-05,7870,8740,7870,8450,20400,HU6
2022-09-06,9520,9520,9520,9520,49700,HU6
2022-09-07,10200,10780,9030,9520,12900,HU6
2022-09-08,10300,10300,8260,8260,7800,HU6
2022-09-09,7770,9620,7770,9420,1300,HU6
2022-09-12,9910,9910,7970,7970,2100,HU6
2022-09-13,7770,7870,7770,7870,2500,HU6
2022-09-14,8550,8940,8550,8940,1200,HU6
2022-09-15,10010,10010,10010,10010,100,HU6
2022-09-16,10690,10690,9710,9710,1100,HU6
2022-09-19,10490,10490,8450,8450,1200,HU6
2022-09-20,8940,9130,8940,9130,500,HU6
2022-09-21,9420,9420,9420,9420,1000,HU6
2022-09-22,10200,10200,10200,10200,500,HU6
2022-09-23,8800,8800,8800,8800,900,HU6
2022-09-26,9500,9500,7500,7500,27600,HU6
2022-09-27,7000,8700,6500,8700,21400,HU6
2022-09-28,7500,7500,7500,7500,1700,HU6
2022-09-29,7000,7000,7000,7000,6600,HU6
2022-09-30,7000,7000,7000,7000,7500,HU6
2022-10-03,6500,6500,6500,6500,600,HU6
2022-10-04,7200,7400,6800,7400,1800,HU6
2022-10-05,6800,6800,6500,6500,2900,HU6
2022-10-06,7300,7300,7300,7300,100,HU6
2022-10-10,7300,7300,7300,7300,100,HU6
2022-10-12,6500,7900,6500,7600,500,HU6
2022-10-14,8500,8500,7800,7800,300,HU6
2022-10-18,8800,8800,8800,8800,100,HU6
2022-10-21,8000,8200,8000,8200,400,HU6
2022-10-25,8100,8100,8100,8100,100,HU6
2022-11-01,7900,7900,7900,7900,100,HU6
2022-11-03,7800,7800,7800,7800,100,HU6
2022-11-07,6700,6700,6700,6700,2400,HU6
2022-11-08,6600,6600,6600,6600,3400,HU6
2022-11-09,7500,7500,7500,7500,100,HU6
2022-11-10,8600,8600,8600,8600,100,HU6
2022-11-18,9800,9800,9800,9800,100,HU6
2022-11-21,8400,8400,8400,8400,100,HU6
2022-11-23,9600,9600,9600,9600,100,HU6
2022-12-13,8200,8200,8200,8200,100,HU6
2022-12-14,7000,7000,7000,7000,3200,HU6
2022-12-15,7000,7000,6700,6700,5000,HU6
2022-12-16,6600,7800,6000,6000,3400,HU6
2022-12-19,6600,6900,6000,6800,11400,HU6
2022-12-20,6000,6000,5900,6000,6500,HU6
2022-12-21,6500,6500,6000,6000,600,HU6
2022-12-22,5500,6600,5500,6600,200,HU6
2022-12-23,6200,6200,6200,6200,100,HU6
2022-12-27,5800,6000,5800,6000,5500,HU6
2022-12-28,5200,5500,5200,5500,7900,HU6
2022-12-29,6000,6000,6000,6000,100,HU6
2023-01-03,6000,6000,6000,6000,1000,HU6
2023-01-06,6200,6200,5600,5600,2800,HU6
2023-01-09,6000,6000,6000,6000,100,HU6
2023-01-11,5500,5500,5500,5500,900,HU6
2023-01-12,6100,6100,6100,6100,100,HU6
2023-01-16,5600,5600,5600,5600,2000,HU6
2023-01-17,6100,6100,5100,5100,1600,HU6
2023-01-18,5900,5900,5600,5600,300,HU6
2023-01-19,6100,6100,5500,5500,2900,HU6
2023-01-27,6100,6100,6000,6000,400,HU6
2023-01-30,5200,6100,5200,6100,600,HU6
2023-01-31,6100,6100,6100,6100,600,HU6
2023-02-01,5600,5700,5600,5600,5200,HU6
2023-02-02,6100,6400,6100,6400,200,HU6
2023-02-06,7200,7200,7200,7200,100,HU6
2023-02-08,8000,8000,8000,8000,100,HU6
2023-02-15,6800,6800,6800,6800,7000,HU6
2023-02-16,7800,7800,5800,6000,2100,HU6
2023-02-17,6900,6900,6900,6900,100,HU6
2023-02-20,7300,7300,7300,7300,100,HU6
2023-02-22,6300,6400,6300,6300,70200,HU6
2023-02-23,6200,6200,6200,6200,300,HU6
2023-02-24,6400,6400,6300,6300,56000,HU6
2023-02-27,6300,6300,6300,6300,3000,HU6
2023-03-01,6900,6900,6300,6300,3700,HU6
2023-03-02,5500,6800,5500,6800,200,HU6
2023-03-03,6000,6000,6000,6000,15000,HU6
2023-03-07,5500,5500,5500,5500,100,HU6
2023-03-08,6300,6300,6300,6300,2800,HU6
2023-03-09,6900,6900,6900,6900,100,HU6
2023-03-23,5900,5900,5900,5900,200,HU6
2023-03-24,6600,6600,6600,6600,100,HU6
2023-03-28,5700,5700,5700,5700,100,HU6
2023-03-29,5700,5700,5700,5700,100,HU6
2023-03-30,5700,5700,5700,5700,100,HU6
2023-03-31,5700,5700,5700,5700,500,HU6
2023-04-03,5900,5900,5900,5900,100,HU6
2023-04-05,5900,5900,5900,5900,5100,HU6
2023-04-07,5200,5500,5200,5500,8100,HU6
2023-04-10,5500,5500,5000,5500,2900,HU6
2023-04-11,5400,5400,5400,5400,200,HU6
2023-04-12,5100,5100,5100,5100,100,HU6
2023-04-13,5200,5200,5100,5100,2100,HU6
2023-04-14,5100,5100,5100,5100,2000,HU6
2023-04-18,5000,5000,5000,5000,100,HU6
2023-04-20,5000,5000,5000,5000,200,HU6
2023-05-04,5200,5200,5200,5200,100,HU6
2023-05-05,5200,5200,5000,5000,4300,HU6
2023-05-08,5300,5300,5300,5300,400,HU6
2023-05-09,5300,5300,5100,5100,6100,HU6
2023-05-10,5100,5100,5100,5100,200,HU6
2023-05-11,5000,5000,5000,5000,300,HU6
2023-05-12,5100,5100,5000,5100,2100,HU6
2023-05-15,5800,5800,5800,5800,12500,HU6
2023-05-16,6600,6600,6600,6600,400,HU6
2023-05-17,7400,7400,5700,5700,2300,HU6
2023-05-18,5200,5600,5200,5400,4700,HU6
2023-05-19,5400,5600,5100,5500,500,HU6
2023-05-22,5200,5200,5200,5200,400,HU6
2023-05-23,5300,5300,5300,5300,500,HU6
2023-05-24,5300,5400,5300,5400,300,HU6
2023-05-25,5200,5200,5200,5200,900,HU6
2023-05-26,5200,5200,5100,5100,3000,HU6
2023-05-29,5400,5400,5200,5200,1500,HU6
2023-05-30,5900,5900,5900,5900,2200,HU6
2023-06-02,6700,6700,6700,6700,100,HU6
2023-06-05,6500,6500,6400,6400,700,HU6
2023-06-09,5500,5700,5500,5700,3000,HU6
2023-06-12,5700,5700,5700,5700,1000,HU6
2023-06-14,5900,5900,5900,5900,200,HU6
2023-06-15,6600,6600,6600,6600,100,HU6
2023-06-20,6500,6500,6500,6500,800,HU6
2023-06-21,6200,6200,6200,6200,200,HU6
2023-06-22,5500,5600,5500,5600,1800,HU6
2023-06-23,6000,6000,6000,6000,3200,HU6
2023-06-26,5300,5800,5300,5800,300,HU6
2023-06-27,5800,5800,5800,5800,300,HU6
2023-06-28,5800,5800,5800,5800,1000,HU6
2023-06-29,5700,6600,5700,6600,4800,HU6
2023-06-30,5600,5600,5600,5600,1000,HU6
2023-07-05,6300,6300,6300,6300,100,HU6
2023-07-06,6300,6300,6300,6300,3000,HU6
2023-07-11,7000,7000,5500,5500,1600,HU6
2023-07-12,6300,6300,6300,6300,100,HU6
2023-07-14,6300,6300,6300,6300,1300,HU6
2023-07-18,7100,7100,7100,7100,100,HU6
2023-07-21,6100,6100,6100,6100,800,HU6
2023-07-24,6800,6800,6800,6800,100,HU6
2023-07-26,5800,6000,5800,5800,4700,HU6
2023-07-28,6200,6200,6200,6200,100,HU6
2023-08-01,6200,6200,5800,5800,400,HU6
2023-08-03,5200,5200,5200,5200,500,HU6
2023-08-04,5900,5900,5900,5900,1100,HU6
2023-08-07,5300,5500,5300,5500,600,HU6
2023-08-09,6200,6200,6200,6200,600,HU6
2023-08-11,6200,6200,6200,6200,100,HU6
2023-08-14,6400,6400,6400,6400,100,HU6
2023-08-16,5600,5600,5600,5600,500,HU6
2023-08-22,5600,5600,5600,5600,100,HU6
2023-08-23,5600,5600,5200,5200,1800,HU6
2023-08-24,5800,5800,5800,5800,100,HU6
2023-08-25,5800,5800,5800,5800,500,HU6
2023-08-28,5300,5300,5300,5300,500,HU6
2023-08-29,5900,5900,5900,5900,100,HU6
2023-08-31,5500,6000,5500,6000,1200,HU6
2023-09-05,5400,6000,5400,5800,2700,HU6
2023-09-06,5600,5600,5500,5500,4700,HU6
2023-09-07,5800,6000,5800,6000,3600,HU6
2023-09-08,5600,6000,5600,5800,3500,HU6
2023-09-11,5900,6000,5900,5900,2600,HU6
2023-09-12,5900,6000,5800,6000,3700,HU6
2023-09-13,6800,6800,6100,6100,4800,HU6
2023-09-14,6500,6500,6100,6200,1800,HU6
2023-09-15,6500,6500,6000,6100,1800,HU6
2023-09-18,6400,6400,6100,6100,800,HU6
2023-09-19,6200,6300,6100,6200,10200,HU6
2023-09-20,6200,6200,6200,6200,200,HU6
2023-09-21,6200,6200,6200,6200,1100,HU6
2023-09-22,6200,6200,6200,6200,1400,HU6
2023-09-25,5400,6000,5400,6000,1500,HU6
2023-09-26,5900,6000,5900,6000,2500,HU6
2023-09-27,5800,6000,5800,6000,400,HU6
2023-09-29,6100,6100,6100,6100,3000,HU6
